Player,Pos,PPG,APG,RPG,PPG_norm,APG_norm,RPG_norm,Score,Label
Jerome Beasley,PF,1.0,0.0,0.5,0.027679205110007096,0.0,0.026797385620915035,0.02308641459896,Reserva
Raja Bell,SG,11.158536585365852,1.304878048780488,2.9390243902439024,0.3088594228738596,0.0897535165827849,0.15751633986928104,0.19094844375651404,Reserva
Troy Bell,PG,1.8333333333333333,0.6666666666666666,0.6666666666666666,0.05074520936834634,0.04585537918871252,0.03572984749455338,0.04754952618483978,Reserva
Jonathan Bender,SF,7.047619047619048,0.4285714285714285,1.9047619047619049,0.1950724931562405,0.029478458049886615,0.1020852785558668,0.12940816102483893,Reserva
Travis Best,PG,2.80327868852459,1.836065573770492,1.1147540983606556,0.07759252580018382,0.1262902246508804,0.05974499089253187,0.10104899848014952,Reserva
Mike Bibby,PG,18.365853658536587,5.414634146341464,3.3780487804878048,0.5083522304350084,0.3724351529229578,0.18104575163398692,0.42402836773893204,Role Player
Chauncey Billups,PG,16.897435897435898,5.717948717948718,3.5384615384615383,0.467707594038325,0.3932980599647266,0.18964303670186025,0.4165995991347025,Role Player
Steve Blake,PG,5.92,2.786666666666666,1.56,0.163860894251242,0.19167548500881829,0.08360784313725492,0.1737555370743308,Reserva
Corie Blount,PF-C,3.951612903225808,0.8870967741935484,4.435483870967742,0.10937750406373775,0.06101723843659327,0.23771874341134305,0.0,Reserva
Mark Blount,C,10.28048780487805,0.9146341463414634,7.182926829268292,0.2845557305821461,0.06291134339914828,0.38496732026143793,0.32263824567142146,Role Player
Keith Bogans,SF,6.821917808219178,1.3424657534246576,4.342465753424658,0.18882526225730867,0.09233891425672247,0.23273345868027578,0.1848958614052299,Reserva
Calvin Booth,C,4.859154929577465,0.3943661971830985,3.943661971830986,0.13449754595707675,0.02712571726656233,0.2113596612353862,0.16987763225501096,Reserva
Carlos Boozer,PF,15.493333333333334,1.9733333333333327,11.426666666666666,0.42884315117104327,0.13573192239858903,0.6124095860566449,0.4766596842979759,All-Star
Curtis Borchardt,C,3.625,0.9375,3.375,0.10033711852377572,0.06448412698412698,0.1808823529411765,0.1450789600202513,Reserva
Chris Bosh,C,11.48,1.04,7.426666666666667,0.31775727466288145,0.07153439153439153,0.39803050108932464,0.34129892220589836,Role Player
Ruben Boumtje-Boumtje,C,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.01230186893778093,0.007642563198118753,0.005954974582425563,0.008027801750601492,Reserva
Bruce Bowen,SF,6.890243902439025,1.3780487804878048,3.0853658536585367,0.19071647423358548,0.09478642405471673,0.16535947712418303,0.16265551520952087,Reserva
Ryan Bowen,PF,0.8846153846153846,0.3461538461538461,1.6730769230769231,0.024485450674237044,0.023809523809523805,0.08966817496229262,0.05697542378855785,Reserva
